movie_id,year,genres,averagerating,numvotes,title_new
tt0359950,2013,"Adventure,Comedy,Drama",7.3,275300,the secret life of walter mitty
tt0360556,2018,"Drama,Sci-Fi,Thriller",4.9,14469,fahrenheit 451
tt0364201,2016,Action,6.4,16,aman ke farishtey
tt0365545,2018,"Comedy,Drama,Romance",6.4,6287,nappily ever after
tt0365907,2014,"Action,Crime,Drama",6.5,105116,a walk among the tombstones
tt0369610,2015,"Action,Adventure,Sci-Fi",7.0,539338,jurassic world
tt0372538,2011,"Action,Crime,Drama",6.6,78,spy
tt0376136,2011,"Comedy,Drama",6.2,94787,the rum diary
tt0376479,2016,"Crime,Drama",6.1,12898,american pastoral
tt0377981,2011,"Adventure,Animation,Comedy",6.0,49550,gnomeo & juliet
tt0381957,2012,Drama,7.6,23,cloud cuckoo land
tt0383010,2012,"Comedy,Family",5.1,28570,the three stooges
tt0393049,2010,"Comedy,Drama,Romance",5.5,106,anderson's cross
tt0396123,2010,Drama,7.8,6,den milde smerte
tt0398286,2010,"Adventure,Animation,Comedy",7.8,366366,tangled
tt0400320,2011,Adventure,7.9,18,the connecticut kid
tt0401729,2012,"Action,Adventure,Sci-Fi",6.6,241792,john carter
tt0403645,2010,"Drama,History,War",4.1,3907,burnt by the sun 2
tt0403935,2014,"Action,Thriller",3.3,2862,action jackson
tt0404978,2012,"Comedy,Crime",5.7,22148,gambit
tt0406282,2011,Drama,8.6,18,bubbles
tt0407194,2011,"Comedy,Drama",6.5,6,seven fallen objects
tt0409379,2013,"Crime,Drama,Thriller",6.2,7045,in secret
tt0409847,2011,"Action,Sci-Fi,Thriller",6.0,195889,cowboys & aliens
tt0411951,2010,"Action,Crime,Drama",4.8,24913,tekken
tt0417610,2010,Fantasy,6.4,80,asleep in the sun
tt0417750,2010,Documentary,7.5,107,hempsters: plant the seed
tt0419692,2010,"Drama,Mystery,Sci-Fi",4.5,190,disconnect
tt0420293,2015,"Biography,Drama,History",6.9,32591,the stanford prison experiment
tt0423474,2010,"Action,Comedy,Crime",4.2,468,venus & vegas
tt0424859,2014,Drama,6.2,56,the ninth cloud
tt0425785,2011,Drama,6.2,6,el borde del tiempo
tt0426566,2012,Drama,6.0,13,pots and pans
tt0427152,2010,Comedy,5.9,91546,dinner for schmucks
tt0427543,2018,Drama,7.6,120,a million little pieces
tt0429493,2010,"Action,Adventure,Thriller",6.8,235256,the a-team
tt0430524,2011,Documentary,8.7,14,the rescuer
tt0431021,2012,"Horror,Mystery,Thriller",5.9,53649,the possession
tt0432010,2018,Comedy,7.1,47,the queen of sheba meets the atom man
tt0433035,2011,"Action,Drama,Family",7.1,283534,real steel
tt0433397,2011,"Comedy,Drama,Music",4.7,214,satin
tt0433533,2012,"Drama,Fantasy,Horror",5.2,168,caleuche: el llamado del mar
tt0433787,2012,Drama,6.9,11,l'apocalisse delle scimmie
tt0435651,2014,"Drama,Romance,Sci-Fi",6.5,104999,the giver
tt0435761,2010,"Adventure,Animation,Comedy",8.3,682218,toy story 3
tt0436230,2010,"Horror,Thriller",6.7,34,mexican devil
tt0436782,2013,Documentary,9.1,24,a life in the death of joe meek
tt0437086,2019,"Action,Adventure,Sci-Fi",7.5,88207,alita: battle angel
tt0439724,2011,"Drama,Thriller",7.5,26,moving target
tt0439801,2010,Action,3.3,260,segurança nacional
tt0441779,2010,Documentary,7.3,16,my nappy roots: a journey through black hair-itage
tt0443272,2012,"Biography,Drama,History",7.4,228701,lincoln
tt0443331,2010,"Drama,Romance",4.1,1571,milenge milenge
tt0443465,2014,"Comedy,Drama,Romance",6.8,45181,before we go
tt0443533,2016,"Drama,Romance,War",6.3,1024,the history of love
tt0444531,2010,Drama,6.0,68,vidas pequeñas
tt0445054,2010,"Crime,Drama,Horror",6.5,6705,7 days
tt0446029,2010,"Action,Comedy,Fantasy",7.5,339338,scott pilgrim vs. the world
tt0446686,2010,Drama,5.1,17,dream street
tt0446792,2019,"Comedy,Drama,Romance",8.7,12,surviving in l.a.
tt0448022,2011,"Drama,Romance",6.6,1061,a bird of the air
tt0448115,2019,"Action,Adventure,Comedy",7.4,109051,shazam!
tt0448694,2011,"Action,Adventure,Animation",6.6,133355,puss in boots
tt0449005,2010,"Comedy,Crime",4.0,144,diary of a bad lad
tt0451108,2010,Drama,6.3,313,mad world
tt0451154,2011,Horror,3.4,174,the passing
tt0451201,2017,Horror,5.8,363,clawed
tt0451279,2017,"Action,Adventure,Fantasy",7.5,487527,wonder woman
tt0452183,2013,"Comedy,Romance",6.4,77,blunt movie
tt0452664,2012,Comedy,5.4,907,party crashers
tt0453562,2013,"Biography,Drama,Sport",7.5,77703,42
tt0454155,2010,"Comedy,Drama,Sci-Fi",6.4,19,el hada buena - una fábula peronista
tt0454876,2012,"Adventure,Drama,Fantasy",7.9,535836,life of pi
tt0455323,2012,Drama,6.4,15780,being flynn
tt0455407,2010,"Horror,Thriller",6.5,104465,the crazies
tt0455944,2014,"Action,Crime,Thriller",7.2,302302,the equalizer
tt0457591,2010,Drama,7.0,58,memorias del desarrollo
tt0458339,2011,"Action,Adventure,Sci-Fi",6.9,668137,captain america: the first avenger
tt0458413,2014,"Comedy,Drama",6.4,29260,a long way down
tt0458481,2014,"Crime,Thriller",6.5,140666,sin city: a dame to kill for
tt0459748,2011,"Comedy,Drama,Sci-Fi",6.8,3358,generation p
tt0460528,2012,Documentary,8.5,26,one step beyond: the true story of géraldine fasnacht
tt0460778,2010,Drama,4.9,555,drunkboat
tt0460809,2011,Drama,8.6,17,the grasslands
tt0460890,2017,Drama,6.3,8727,the only living boy in new york
tt0460957,2012,Documentary,8.5,8,texxas jam '78
tt0461336,2011,"Adventure,Comedy,Western",6.0,1727,saving private perez
tt0462036,2012,Drama,5.5,18,steve phoenix: the untold story
tt0462335,2015,"Drama,Horror,Sci-Fi",5.6,33746,high-rise
tt0462516,2010,Horror,4.6,205,satan hates you
tt0463311,2010,"Drama,Thriller",3.2,374,federal
tt0463960,2013,"Mystery,Thriller",3.6,1470,the devil you know
tt0464032,2010,"Action,Comedy,Crime",8.0,39,"guns, drugs and dirty money"
tt0464054,2014,"Horror,Thriller",6.5,331,house at the end of the drive
tt0464154,2010,"Comedy,Horror",5.4,81327,piranha 3d
tt0464162,2010,"Action,Crime,Thriller",3.8,1423,komaram puli
tt0464891,2011,"Comedy,Drama",6.5,85,act your age
tt0465637,2010,"Action,Drama",7.8,33,taken by force
tt0466553,2010,Musical,7.8,25,golapi ekhon bilatey
tt0466893,2011,Drama,6.5,14708,margaret
tt0469021,2013,"Action,Comedy,Crime",6.9,27986,alan partridge
tt0469094,2010,"Comedy,Drama",4.1,128,harlem hostel
tt0469152,2011,Drama,7.2,88,smoking/non-smoking
tt0469158,2011,"Action,Drama",6.6,31,platinum illusions
tt0470752,2014,"Drama,Mystery,Sci-Fi",7.7,424542,ex machina
tt0470936,2016,Drama,4.0,62,"hot country, cold winter"
tt0471042,2011,"Action,Comedy,Crime",6.2,125102,tower heist
tt0472181,2011,"Adventure,Animation,Comedy",5.5,77577,the smurfs
tt0472399,2011,"Action,Crime,Thriller",6.6,141254,the mechanic
tt0473075,2010,"Action,Adventure,Fantasy",6.6,254975,prince of persia: the sands of time
tt0473088,2011,Comedy,8.8,27,stan
tt0473122,2011,Comedy,6.4,55,bamboo shark
